Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",1993/12/1,858877,1984
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida",1967/9/30,277948,1980
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",2001/3/1,723254,1929
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",2020/9/21,1596783,2007
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008/6/23,858470,2021 (1989)
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006/11/17,1058290,1994
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019/6/3,1755672,2019
CTXS,Citrix,Information Technology,Application Software,"Fort Lauderdale, Florida",1999/12/1,877890,1989
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957/3/4,64803,1996
CVX,Chevron,Energy,Integrated Oil & Gas,"San Ramon, California",1957/3/4,93410,1879
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",2021/3/22,1590895,1973
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",2013/9/11,27904,1929
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",2019/4/2,1666700,2017
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957/3/4,315189,1837
DFS,Discover,Financials,Consumer Finance,"Riverwoods, Illinois",2007/7/2,1393612,1985
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012/12/3,29534,1939
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",2002/12/12,1022079,1967
DHI,D.R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005/6/22,882184,1978
DHR,Danaher,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
DIS,Disney,Communication Services,Movies & Entertainment,"Burbank, California",1976/6/30,1744489,1923
DISH,Dish,Communication Services,Cable & Satellite,"Meridian, Colorado",2017/3/13,1001082,1980
DLR,Digital Realty,Real Estate,Specialized REITs,"Austin, Texas",2016/5/18,1297996,2004
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011/12/19,935703,1986
DOV,Dover,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985/10/31,29905,1955
DOW,Dow,Materials,Commodity Chemicals,"Midland, Michigan",2019/4/1,1751788,2019
DPZ,Domino's,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020/5/12,1286681,1960
DRE,Duke Realty,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017/7/26,783280,1972
DRI,Darden,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DTE,DTE,Utilities,Multi-Utilities,"Detroit, Michigan",1957/3/4,936340,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976/6/30,1326160,1904
DVA,DaVita,Health Care,Health Care Facilities,"Denver, Colorado",2008/7/31,927066,1979
DVN,Devon,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000/8/30,1090012,1971
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017/4/4,1688568,2017
DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",2020/5/12,1093557,1999
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",2002/7/22,712515,1982
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",2002/7/22,1065088,1995
ECL,Ecolab,Materials,Specialty Chemicals,"Saint Paul, Minnesota",1989/1/31,31462,1923
ED,Con Edison,Utilities,Electric Utilities,"New York City, New York",,1047862,1823
EFX,Equifax,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997/6/19,33185,1899
EIX,Edison International,Utilities,Electric Utilities,"Rosemead, California",1957/3/4,827052,1886
EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York City, New York",2006/1/5,1001250,1946
EMN,Eastman,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994/1/1,915389,1920
EMR,Emerson,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965/3/31,32604,1890
ENPH,Enphase,Information Technology,Electronic Components,"Fremont, California",2021/1/7,1463101,2006
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000/11/2,821189,1999
EPAM,EPAM,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",2021/12/14,1352010,1993
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",2015/3/20,1101239,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001/12/3,906107,1969
ES,Eversource,Utilities,Multi-Utilities,"Hartford, Connecticut",2009,72741,1966
ESS,Essex,Real Estate,Residential REITs,"San Mateo, California",2014/4/2,920522,1971
ETN,Eaton,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
ETR,Entergy,Utilities,Electric Utilities,"New Orleans, Louisiana",1957/3/4,65984,1913
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",2020/9/21,1370637,2005
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",2018/6/5,1711269,1909
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011/4/1,1099800,1958
EXC,Exelon,Utilities,Multi-Utilities,"Chicago, Illinois",1957/3/4,1109357,2000
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",2007/10/10,746515,1979
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2007/10/2,1324424,1996
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016/1/19,1289490,1977
F,Ford,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957/3/4,37996,1903
FANG,Diamondback,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018/12/3,1539838,2007
FAST,Fastenal,Industrials,Building Products,"Winona, Minnesota",2008/9/15,815556,1967
FB,Meta,Communication Services,Interactive Media & Services,"Menlo Park, California",2013/12/23,1326801,2004
FBHS,Fortune Brands,Industrials,Building Products,"Deerfield, Illinois",2016/6/22,1519751,2011 (1969)
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",,831259,1912
FDS,FactSet,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",2021/12/20,1013237,1978
FDX,FedEx,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980/12/31,1048911,1971
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
FFIV,F5,Information Technology,Communications Equipment,"Seattle, Washington",2010/12/20,1048695,1996
FIS,FIS,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",2006/11/10,1136893,1968
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",2001/4/2,798354,1984
FITB,Fifth Third Bank,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",2018/6/20,1175454,2000
FMC,FMC,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009/8/19,37785,1883
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York City, New York",2015/9/18,1754301,2019
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York City, New York",2013/7/1,1754301,2019
FRC,First Republic,Financials,Regional Banks,"San Francisco, California",2019/1/2,1132979,1985
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",2016/2/1,34903,1962
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018/10/11,1262039,2000
FTV,Fortive,Industrials,Industrial Machinery,"Everett, Washington",2016/7/1,1659166,2016
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957/3/4,40533,1899
GE,GE,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
GILD,Gilead,Health Care,Biotechnology,"Foster City, California",2004/7/1,882095,1987
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969/3/31,40704,1856
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989/4/30,320335,1900
GLW,Corning,Information Technology,Electronic Components,"Corning, New York",,24741,1851
GM,GM,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013/6/6,1467858,1908
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021/3/22,1474735,1959
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006/4/3,1652044,1998
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014/4/3,1652044,1998
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973/12/31,40987,1925
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016/4/25,1123360,2000
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012/12/12,1121788,1989
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,"New York City, New York",2002/7/22,886982,1869
GWW,Grainger,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981/6/30,277135,1927
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957/3/4,45012,1919
HAS,Hasbro,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984/9/30,46080,1923
HBAN,Huntington National Bank,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",,49196,1866
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",2015/1/27,860730,1968
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988/3/31,354950,1978
HES,Hess,Energy,Integrated Oil & Gas,"New York City, New York",1984/5/31,4447,1919
HIG,Hartford (The),Financials,Property & Casualty Insurance,"Hartford, Connecticut",1957/3/4,874766,1810
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018/1/3,1501585,2011
HLT,Hilton,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017/6/19,1585689,1919
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016/3/30,859737,1985
HON,Honeywell,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",1964/3/31,773840,1906
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015/11/2,1645590,2015
